package,version,license
@hono/node-server,2.1.1,MIT
@leeoniya/ufuzzy,1.0.19,MIT
@microsoft/signalr,8.0.29,MIT
@modelcontextprotocol/sdk,1.30.0,MIT
@modelcontextprotocol/sdk/node_modules/ajv,8.20.0,MIT
@modelcontextprotocol/sdk/node_modules/eventsource,3.0.7,MIT
@modelcontextprotocol/sdk/node_modules/json-schema-traverse,1.0.0,MIT
@notesnook/core,8.1.3,GPL-3.0-or-later
@notesnook/crypto,2.1.3,GPL-3.0-or-later
@notesnook/logger,2.1.3,GPL-3.0-or-later
@notesnook/sodium,2.1.3,GPL-3.0-or-later
@readme/data-urls,3.0.1,ISC
@selderee/plugin-htmlparser2,0.11.0,MIT
@streetwriters/kysely,0.27.4,MIT
@streetwriters/showdown,3.0.8-alpha,MIT
abort-controller,3.0.0,MIT
accepts,2.0.0,MIT
ajv-formats,3.0.1,MIT
ajv-formats/node_modules/ajv,8.20.0,MIT
ajv-formats/node_modules/json-schema-traverse,1.0.0,MIT
async-mutex,0.3.2,MIT
b4a,1.8.1,Apache-2.0
bare-addon-resolve,1.10.1,Apache-2.0
bare-ansi-escapes,2.2.3,Apache-2.0
bare-assert,1.2.0,Apache-2.0
bare-events,2.9.2,Apache-2.0
bare-inspect,3.1.5,Apache-2.0
bare-module-resolve,1.12.4,Apache-2.0
bare-semver,1.1.0,Apache-2.0
bare-stream,2.13.4,Apache-2.0
bare-type,1.1.0,Apache-2.0
base64-js,1.5.1,MIT
better-sqlite3-multiple-ciphers,11.5.0,MIT
bindings,1.5.0,MIT
bl,4.1.0,MIT
body-parser,2.3.0,MIT
body-parser/node_modules/content-type,2.1.0,MIT
boolbase,1.0.0,ISC
buffer,5.7.1,MIT
bytes,3.1.2,MIT
call-bind-apply-helpers,1.0.2,MIT
call-bound,1.0.4,MIT
chownr,1.1.4,ISC
commander,8.3.0,MIT
content-disposition,1.1.0,MIT
content-type,1.0.5,MIT
cookie,0.7.2,MIT
cookie-signature,1.2.2,MIT
cors,2.8.6,MIT
cross-spawn,7.0.6,MIT
css-select,5.2.2,BSD-2-Clause
css-what,6.2.2,BSD-2-Clause
cssom,0.5.0,MIT
dayjs,1.11.9,MIT
debug,4.4.3,MIT
decompress-response,6.0.0,MIT
deep-extend,0.6.0,MIT
deepmerge,4.3.1,MIT
depd,2.0.0,MIT
detect-libc,2.1.2,Apache-2.0
discontinuous-range,1.0.0,MIT
dom-serializer,2.0.0,MIT
domelementtype,2.3.0,BSD-2-Clause
